model,model_family,model_note,term,coefficient,std_error,t_value,p_value,ci_lower,ci_upper
Model 1 - Baseline Dynamic,Dynamic pooled OLS,Adds lag GDP to the baseline specification.,Intercept,0.076716,0.024534,3.126927,0.001766,0.02863,0.124802
Model 1 - Baseline Dynamic,Dynamic pooled OLS,Adds lag GDP to the baseline specification.,log_gdp_per_capita,0.979468,0.002743,357.119102,0.0,0.974093,0.984844
Model 1 - Baseline Dynamic,Dynamic pooled OLS,Adds lag GDP to the baseline specification.,log_population_total,-0.001622,0.001095,-1.48048,0.138745,-0.003768,0.000525
Model 1 - Baseline Dynamic,Dynamic pooled OLS,Adds lag GDP to the baseline specification.,life_expectancy_years,0.002438,0.000527,4.629415,4e-06,0.001406,0.00347
Model 2 - Extended Dynamic,Dynamic pooled OLS,Adds macro and digital indicators on top of lag GDP.,Intercept,0.048501,0.027772,1.746404,0.080741,-0.005931,0.102934
Model 2 - Extended Dynamic,Dynamic pooled OLS,Adds macro and digital indicators on top of lag GDP.,log_gdp_per_capita,0.982714,0.003013,326.126753,0.0,0.976808,0.98862
Model 2 - Extended Dynamic,Dynamic pooled OLS,Adds macro and digital indicators on top of lag GDP.,log_population_total,-0.001698,0.001099,-1.544944,0.12236,-0.003853,0.000456
Model 2 - Extended Dynamic,Dynamic pooled OLS,Adds macro and digital indicators on top of lag GDP.,life_expectancy_years,0.002522,0.00053,4.762034,2e-06,0.001484,0.00356
Model 2 - Extended Dynamic,Dynamic pooled OLS,Adds macro and digital indicators on top of lag GDP.,inflation_pct_clean,0.000264,0.000247,1.069386,0.284896,-0.00022,0.000749
Model 2 - Extended Dynamic,Dynamic pooled OLS,Adds macro and digital indicators on top of lag GDP.,unemployment_pct_clean,-1.2e-05,0.000345,-0.033586,0.973207,-0.000688,0.000665
Model 2 - Extended Dynamic,Dynamic pooled OLS,Adds macro and digital indicators on top of lag GDP.,internet_users_pct_clean,-0.00023,9.9e-05,-2.311783,0.02079,-0.000424,-3.5e-05
Model 3 - Full Dynamic,Dynamic pooled OLS,"Full predictive model with lag GDP, extra drivers, trainable event dummies, region effects, and a linear time trend.",Intercept,0.166272,0.039818,4.175779,3e-05,0.08823,0.244314
Model 3 - Full Dynamic,Dynamic pooled OLS,"Full predictive model with lag GDP, extra drivers, trainable event dummies, region effects, and a linear time trend.",C(wb_region)[T.Europe & Central Asia],0.010096,0.006751,1.49553,0.134776,-0.003135,0.023328
Model 3 - Full Dynamic,Dynamic pooled OLS,"Full predictive model with lag GDP, extra drivers, trainable event dummies, region effects, and a linear time trend.",C(wb_region)[T.Latin America & Caribbean ],-0.008708,0.006701,-1.299501,0.193772,-0.021842,0.004426
Model 3 - Full Dynamic,Dynamic pooled OLS,"Full predictive model with lag GDP, extra drivers, trainable event dummies, region effects, and a linear time trend.","C(wb_region)[T.Middle East, North Africa, Afghanistan & Pakistan]",-0.009961,0.007947,-1.253483,0.21003,-0.025536,0.005614
Model 3 - Full Dynamic,Dynamic pooled OLS,"Full predictive model with lag GDP, extra drivers, trainable event dummies, region effects, and a linear time trend.",C(wb_region)[T.North America],0.013295,0.01118,1.18922,0.234353,-0.008617,0.035208
Model 3 - Full Dynamic,Dynamic pooled OLS,"Full predictive model with lag GDP, extra drivers, trainable event dummies, region effects, and a linear time trend.",C(wb_region)[T.South Asia],-0.000248,0.008682,-0.028583,0.977197,-0.017264,0.016767
Model 3 - Full Dynamic,Dynamic pooled OLS,"Full predictive model with lag GDP, extra drivers, trainable event dummies, region effects, and a linear time trend.",C(wb_region)[T.Sub-Saharan Africa ],-0.023456,0.009248,-2.536271,0.011204,-0.041583,-0.00533
Model 3 - Full Dynamic,Dynamic pooled OLS,"Full predictive model with lag GDP, extra drivers, trainable event dummies, region effects, and a linear time trend.",log_gdp_per_capita,0.984149,0.003382,291.020099,0.0,0.977521,0.990777
Model 3 - Full Dynamic,Dynamic pooled OLS,"Full predictive model with lag GDP, extra drivers, trainable event dummies, region effects, and a linear time trend.",log_population_total,-0.002444,0.001146,-2.131744,0.033028,-0.004691,-0.000197
Model 3 - Full Dynamic,Dynamic pooled OLS,"Full predictive model with lag GDP, extra drivers, trainable event dummies, region effects, and a linear time trend.",life_expectancy_years,0.001249,0.000654,1.911121,0.055989,-3.2e-05,0.00253
Model 3 - Full Dynamic,Dynamic pooled OLS,"Full predictive model with lag GDP, extra drivers, trainable event dummies, region effects, and a linear time trend.",inflation_pct_clean,0.000168,0.000254,0.663895,0.506758,-0.000329,0.000666
Model 3 - Full Dynamic,Dynamic pooled OLS,"Full predictive model with lag GDP, extra drivers, trainable event dummies, region effects, and a linear time trend.",unemployment_pct_clean,-0.000154,0.00036,-0.429205,0.667774,-0.000859,0.00055
Model 3 - Full Dynamic,Dynamic pooled OLS,"Full predictive model with lag GDP, extra drivers, trainable event dummies, region effects, and a linear time trend.",internet_users_pct_clean,-0.000289,0.000154,-1.875021,0.06079,-0.000591,1.3e-05
Model 3 - Full Dynamic,Dynamic pooled OLS,"Full predictive model with lag GDP, extra drivers, trainable event dummies, region effects, and a linear time trend.",asian_financial_crisis_9798,-0.096865,0.009609,-10.080657,0.0,-0.115698,-0.078032
Model 3 - Full Dynamic,Dynamic pooled OLS,"Full predictive model with lag GDP, extra drivers, trainable event dummies, region effects, and a linear time trend.",global_financial_crisis_0809,-0.043543,0.007888,-5.519821,0.0,-0.059004,-0.028082
Model 3 - Full Dynamic,Dynamic pooled OLS,"Full predictive model with lag GDP, extra drivers, trainable event dummies, region effects, and a linear time trend.",year_trend,-0.000686,0.000461,-1.486104,0.137252,-0.00159,0.000219
