country_name,country_code,wb_region,feature_year,target_year,actual_gdp_next_year,pred_ols,pred_ridge,pred_elastic_net,pred_random_forest,pred_xgboost,spec,split
Afghanistan,AFG,"Middle East, North Africa, Afghanistan & Pakistan",2018,2019,496.6025,528.7907,527.1467247264974,527.4128555707905,530.8640399901691,537.0414,Model 1,test
Afghanistan,AFG,"Middle East, North Africa, Afghanistan & Pakistan",2019,2020,510.7871,534.9637,533.4519133402704,533.7144015293301,517.7142435947407,553.29,Model 1,test
Afghanistan,AFG,"Middle East, North Africa, Afghanistan & Pakistan",2020,2021,356.4962,547.9079,545.7589439444805,546.0591682871038,532.0589633610128,556.4369,Model 1,test
Afghanistan,AFG,"Middle East, North Africa, Afghanistan & Pakistan",2021,2022,357.2612,384.2508,382.6788425708156,382.9065505757712,386.0625948040094,376.673,Model 1,test
Afghanistan,AFG,"Middle East, North Africa, Afghanistan & Pakistan",2022,2023,413.7579,389.9617,389.73779773055014,389.8984152548322,382.41372653300016,390.6165,Model 1,test
Angola,AGO,Sub-Saharan Africa ,2018,2019,2493.6788,2970.8469,2954.3531884092263,2955.687934968814,2902.6517207466163,2774.076,Model 1,test
Angola,AGO,Sub-Saharan Africa ,2019,2020,1759.3562,2600.1196,2586.887330829022,2588.035310432734,2336.9924500664742,2639.965,Model 1,test
Angola,AGO,Sub-Saharan Africa ,2020,2021,2303.9081,1847.8327,1839.4461153906352,1840.2754314730755,1871.7228742058555,1798.0957,Model 1,test
Angola,AGO,Sub-Saharan Africa ,2021,2022,3682.1132,2405.3588,2393.0641751987864,2394.1623871709803,2329.5684184450843,2421.4734,Model 1,test
Angola,AGO,Sub-Saharan Africa ,2022,2023,2916.1366,3819.2009,3800.046048479732,3801.6161596721295,3616.708114747928,3932.9363,Model 1,test
Albania,ALB,Europe & Central Asia,2018,2019,6069.439,6310.572,6360.371694579389,6356.745540196561,6703.669975050428,6693.0215,Model 1,test
Albania,ALB,Europe & Central Asia,2019,2020,6027.9135,6494.3436,6546.450542031622,6542.645708921443,7021.946564003081,7004.34,Model 1,test
Albania,ALB,Europe & Central Asia,2020,2021,7242.4551,6425.1941,6469.692012507999,6466.29379255614,6629.83841238297,6667.411,Model 1,test
Albania,ALB,Europe & Central Asia,2021,2022,7756.9619,7672.5828,7718.471962110224,7714.651315362661,7803.96627174661,8203.927,Model 1,test
Albania,ALB,Europe & Central Asia,2022,2023,9730.8692,8244.8822,8304.358294378448,8299.650429443842,8273.0472054038,8867.9375,Model 1,test
United Arab Emirates,ARE,"Middle East, North Africa, Afghanistan & Pakistan",2018,2019,45938.6074,48607.5529,48856.17899949395,48832.208187981145,49479.8369365225,49084.758,Model 1,test
United Arab Emirates,ARE,"Middle East, North Africa, Afghanistan & Pakistan",2019,2020,37991.7493,47414.6218,47663.20784761647,47639.67170911712,48859.91611209766,47509.652,Model 1,test
United Arab Emirates,ARE,"Middle East, North Africa, Afghanistan & Pakistan",2020,2021,44118.5047,39302.6592,39503.03641013566,39484.50891111971,39387.91275386611,40149.4,Model 1,test
United Arab Emirates,ARE,"Middle East, North Africa, Afghanistan & Pakistan",2021,2022,50759.7589,45184.212,45314.48518678922,45297.90215320138,44585.24545119141,43995.684,Model 1,test
United Arab Emirates,ARE,"Middle East, North Africa, Afghanistan & Pakistan",2022,2023,49850.6872,52009.8739,52194.771486834674,52173.43131784813,50066.30665032457,49210.277,Model 1,test
Argentina,ARG,Latin America & Caribbean ,2018,2019,9955.9748,12267.8639,12284.881053364055,12284.788652862935,13485.256787241038,12826.463,Model 1,test
Argentina,ARG,Latin America & Caribbean ,2019,2020,8535.5994,10429.5931,10447.252037941556,10447.176520008832,11460.080094431256,10803.818,Model 1,test
Argentina,ARG,Latin America & Caribbean ,2020,2021,10738.0179,8948.7171,8960.069118357887,8960.336225086272,8832.965588472056,9238.801,Model 1,test
Argentina,ARG,Latin America & Caribbean ,2021,2022,13962.1894,11152.1551,11147.527237475912,11148.602865943045,11225.265980628295,10722.165,Model 1,test
Argentina,ARG,Latin America & Caribbean ,2022,2023,14261.8466,14488.1421,14494.43870698861,14494.841098103225,13162.780092771518,13907.56,Model 1,test
Armenia,ARM,Europe & Central Asia,2018,2019,4597.2289,4480.6232,4506.512153498386,4504.639691171042,4442.209767292978,4525.366,Model 1,test
Armenia,ARM,Europe & Central Asia,2019,2020,4268.6809,4907.0851,4936.7680588935855,4934.604118289851,4679.0881161354055,4692.1567,Model 1,test
Armenia,ARM,Europe & Central Asia,2020,2021,4685.18,4531.7815,4550.88634340852,4549.356270727968,4668.775481982522,4596.604,Model 1,test
Armenia,ARM,Europe & Central Asia,2021,2022,6571.9745,4951.185,4967.604025764063,4966.123146223788,4902.982334133216,4957.243,Model 1,test
Armenia,ARM,Europe & Central Asia,2022,2023,8159.0872,6938.9472,6970.031534953267,6967.312980253627,7203.298334866113,7298.345,Model 1,test
Australia,AUS,East Asia & Pacific,2018,2019,55194.7585,58913.254,59132.50919163122,59112.59896575296,54905.82172331674,53966.418,Model 1,test
Australia,AUS,East Asia & Pacific,2019,2020,51983.4524,56705.1617,56924.515832588455,56905.20998201211,54222.32129997596,53106.9,Model 1,test
Australia,AUS,East Asia & Pacific,2020,2021,60758.9044,53509.7977,53732.012582258896,53713.36343143552,54082.21766756856,50983.496,Model 1,test
Australia,AUS,East Asia & Pacific,2021,2022,65169.5191,62357.9892,62605.66537883047,62583.620826568585,57371.33660000459,57590.45,Model 1,test
Australia,AUS,East Asia & Pacific,2022,2023,65058.3773,66770.8429,67022.92253456528,66999.65623570971,67539.59034834671,66745.086,Model 1,test
Austria,AUT,Europe & Central Asia,2018,2019,49885.9947,52611.2428,52850.00642265171,52824.95169241499,48807.69781480606,51858.97,Model 1,test
Austria,AUT,Europe & Central Asia,2019,2020,48716.4099,51319.155,51560.98500281972,51536.22332615539,47259.01059607294,49847.035,Model 1,test
Austria,AUT,Europe & Central Asia,2020,2021,53648.6438,50054.2595,50267.65154183233,50244.81682334234,47974.444178138074,49168.387,Model 1,test
Austria,AUT,Europe & Central Asia,2021,2022,52336.7725,55012.1894,55237.89073152919,55212.7851877097,52754.0600230292,54429.945,Model 1,test
Austria,AUT,Europe & Central Asia,2022,2023,56579.5042,53707.1586,53932.802605348945,53908.191079968994,54937.35761675442,51676.895,Model 1,test
Azerbaijan,AZE,Europe & Central Asia,2018,2019,4805.7537,5006.8874,5018.00753745212,5017.410635948534,5458.992398371565,5246.018,Model 1,test
Azerbaijan,AZE,Europe & Central Asia,2019,2020,4229.9106,5078.4449,5090.5079935215,5089.859330187225,5586.415407113796,5307.133,Model 1,test
Azerbaijan,AZE,Europe & Central Asia,2020,2021,5408.0454,4449.1873,4451.563873613251,4451.48028247316,4449.035563421142,4271.524,Model 1,test
Azerbaijan,AZE,Europe & Central Asia,2021,2022,7770.5942,5669.2183,5672.668861769598,5672.412405673934,5767.116123271944,5516.5874,Model 1,test
Azerbaijan,AZE,Europe & Central Asia,2022,2023,7133.0284,8147.3157,8164.99238301475,8163.682031323129,7971.009469795044,8030.6147,Model 1,test
Burundi,BDI,Sub-Saharan Africa ,2018,2019,234.3106,268.2529,267.99031496484344,268.082249389338,258.21129164886713,261.63397,Model 1,test
Burundi,BDI,Sub-Saharan Africa ,2019,2020,255.8325,256.3266,256.1492128004424,256.2352338814698,252.5940309961301,249.47725,Model 1,test
Burundi,BDI,Sub-Saharan Africa ,2020,2021,264.9804,279.618,279.44925877156874,279.54034105296387,271.76176641909524,240.17758,Model 1,test
Burundi,BDI,Sub-Saharan Africa ,2021,2022,302.9925,289.0648,288.7718857214269,288.8720472926197,282.4495096911997,272.53476,Model 1,test
Burundi,BDI,Sub-Saharan Africa ,2022,2023,250.6273,330.2371,329.99672343036036,330.1030291187842,334.5048444638138,339.96304,Model 1,test
Belgium,BEL,Europe & Central Asia,2018,2019,46716.6227,48845.1787,49053.011226426665,49032.10474515074,48123.0391633904,46493.35,Model 1,test
Belgium,BEL,Europe & Central Asia,2019,2020,45906.2876,48115.1747,48333.99663721559,48312.76122661791,48431.04904085862,47406.508,Model 1,test
Belgium,BEL,Europe & Central Asia,2020,2021,51658.2383,47147.5793,47321.06391972454,47302.50784530264,47842.27481866172,45467.773,Model 1,test
Belgium,BEL,Europe & Central Asia,2021,2022,50605.7497,53067.7645,53292.60397869401,53269.59600693418,51831.28045627571,50359.35,Model 1,test
Belgium,BEL,Europe & Central Asia,2022,2023,55291.4755,52002.5955,52222.59445334032,52200.20903247403,49584.85848140041,47947.94,Model 1,test
Benin,BEN,Sub-Saharan Africa ,2018,2019,1130.8214,1212.0908,1206.1566717818694,1206.6488519074485,1208.4409329664654,1210.2731,Model 1,test
Benin,BEN,Sub-Saharan Africa ,2019,2020,1200.1943,1190.9869,1185.2921009611389,1185.7739966866436,1206.062581942887,1131.709,Model 1,test
Benin,BEN,Sub-Saharan Africa ,2020,2021,1318.6516,1263.2709,1257.2967112038036,1257.8008252981851,1240.5700872719888,1231.1777,Model 1,test
Benin,BEN,Sub-Saharan Africa ,2021,2022,1266.4271,1383.38,1376.0756976735136,1376.6587476816285,1406.7366043355144,1339.0308,Model 1,test
Benin,BEN,Sub-Saharan Africa ,2022,2023,1394.1778,1332.4467,1326.2343065296848,1326.761685933855,1284.0105432700375,1244.6746,Model 1,test
Burkina Faso,BFA,Sub-Saharan Africa ,2018,2019,764.8531,824.6891,820.7723844889816,821.173078714764,801.9452238482515,817.4347,Model 1,test
Burkina Faso,BFA,Sub-Saharan Africa ,2019,2020,825.237,811.9692,808.2240315774337,808.6161132433027,709.8048715408486,794.05945,Model 1,test
Burkina Faso,BFA,Sub-Saharan Africa ,2020,2021,895.5353,875.2486,871.2396891229833,871.6568319765546,888.4298895728514,850.05316,Model 1,test
Burkina Faso,BFA,Sub-Saharan Africa ,2021,2022,827.3308,947.235,942.4830343723604,942.950949577162,955.033929981041,931.1093,Model 1,test
Burkina Faso,BFA,Sub-Saharan Africa ,2022,2023,873.4826,877.8833,873.9521225626033,874.3698355863208,896.5998675606285,849.3546,Model 1,test
Bangladesh,BGD,South Asia,2018,2019,2129.799,2099.6949,2098.334290010639,2099.170061942404,2067.5576075511985,2278.4263,Model 1,test
Bangladesh,BGD,South Asia,2019,2020,2248.8508,2274.5106,2273.5027086715177,2274.368750637857,2401.112998061317,2520.4985,Model 1,test
Bangladesh,BGD,South Asia,2020,2021,2482.8492,2391.9074,2388.6532999827486,2389.667660448524,2538.9219934155985,2535.8992,Model 1,test
Bangladesh,BGD,South Asia,2021,2022,2716.4859,2633.3525,2628.7601997080797,2629.907086900418,2496.7357090619607,2785.77,Model 1,test
Bangladesh,BGD,South Asia,2022,2023,2551.0177,2898.0429,2898.7846944188623,2899.724910970628,3206.7310594791784,3145.458,Model 1,test
Bulgaria,BGR,Europe & Central Asia,2018,2019,10353.7205,10304.669,10334.621234689272,10331.90242086998,11164.222550678269,10959.865,Model 1,test
Bulgaria,BGR,Europe & Central Asia,2019,2020,10760.212,10825.3913,10857.30154176894,10854.355693249683,11344.499156643982,11059.475,Model 1,test
Bulgaria,BGR,Europe & Central Asia,2020,2021,12966.1458,11193.6672,11212.6868812389,11210.322034973318,10923.256938087115,10902.03,Model 1,test
Bulgaria,BGR,Europe & Central Asia,2021,2022,13999.195,13367.0141,13366.334626673644,13364.493662037465,11526.289005089297,12892.552,Model 1,test
Bulgaria,BGR,Europe & Central Asia,2022,2023,15853.2086,14513.4168,14540.260791720117,14536.70268607542,13757.936384227338,14156.646,Model 1,test
Bahrain,BHR,"Middle East, North Africa, Afghanistan & Pakistan",2018,2019,27259.7439,27418.2698,27611.266844160735,27591.33415645037,26039.4054919207,27057.305,Model 1,test
Bahrain,BHR,"Middle East, North Africa, Afghanistan & Pakistan",2019,2020,24342.8445,28376.8044,28576.603405140475,28555.840037102767,26103.094087665017,28072.082,Model 1,test
Bahrain,BHR,"Middle East, North Africa, Afghanistan & Pakistan",2020,2021,27147.8084,25289.1721,25440.999764223157,25424.13198122037,25459.40914930816,25213.088,Model 1,test
Bahrain,BHR,"Middle East, North Africa, Afghanistan & Pakistan",2021,2022,30470.5219,28097.9828,28249.44097995583,28231.38425791325,28087.337543723315,28291.443,Model 1,test
Bahrain,BHR,"Middle East, North Africa, Afghanistan & Pakistan",2022,2023,29290.1284,31685.5456,31913.23335136241,31889.562039726046,30706.19013822675,31679.99,Model 1,test
"Bahamas, The",BHS,Latin America & Caribbean ,2018,2019,33640.337,33401.5507,33538.4939866014,33514.144216385575,34278.00179685798,34778.6,Model 1,test
"Bahamas, The",BHS,Latin America & Caribbean ,2019,2020,26178.7538,34179.3465,34255.551662606194,34233.93533973031,35147.05108438833,33284.547,Model 1,test
