country_name,country_code,wb_region,latest_actual_gdp_year,feature_year_used,target_year,gdp_input_used,population_used,life_expectancy_used,predicted_log_gdp_per_capita,predicted_gdp_per_capita_usd,population_model,life_model,gdp_model
Viet Nam,VNM,East Asia & Pacific,2024,2024,2025,4717.29028732449,100987686.0,74.87836307399756,8.527961730957031,5054.133644733915,LogHolt,Holt,XGBoost Model 1 Recursive
Viet Nam,VNM,East Asia & Pacific,2024,2025,2026,5054.133644733915,101627204.35341582,75.14126594666119,8.58694839477539,5361.228334933906,LogHolt,Holt,XGBoost Model 1 Recursive
Viet Nam,VNM,East Asia & Pacific,2024,2026,2027,5361.228334933906,102270772.54378378,75.40416881932484,8.64872932434082,5702.895597185601,LogHolt,Holt,XGBoost Model 1 Recursive
Viet Nam,VNM,East Asia & Pacific,2024,2027,2028,5702.895597185601,102918416.21786034,75.66707169198847,8.695916175842285,5978.447368403198,LogHolt,Holt,XGBoost Model 1 Recursive
Viet Nam,VNM,East Asia & Pacific,2024,2028,2029,5978.447368403198,103570161.18420349,75.9299745646521,8.744041442871094,6273.197318902795,LogHolt,Holt,XGBoost Model 1 Recursive
Viet Nam,VNM,East Asia & Pacific,2024,2029,2030,6273.197318902795,104226033.41480899,76.19287743731573,8.801165580749512,6641.981261701181,LogHolt,Holt,XGBoost Model 1 Recursive
Viet Nam,VNM,East Asia & Pacific,2024,2030,2031,6641.981261701181,104886059.04614228,76.45578030997936,8.889137268066406,7252.759296528985,LogHolt,Holt,XGBoost Model 1 Recursive
Viet Nam,VNM,East Asia & Pacific,2024,2031,2032,7252.759296528985,105550264.38018306,76.71868318264299,8.930662155151367,7560.269790805927,LogHolt,Holt,XGBoost Model 1 Recursive
Viet Nam,VNM,East Asia & Pacific,2024,2032,2033,7560.269790805927,106218675.88547045,76.98158605530664,9.02960205078125,8346.537413151642,LogHolt,Holt,XGBoost Model 1 Recursive
Viet Nam,VNM,East Asia & Pacific,2024,2033,2034,8346.537413151642,106891320.19816068,77.24448892797027,9.147424697875977,9390.22654280848,LogHolt,Holt,XGBoost Model 1 Recursive
Viet Nam,VNM,East Asia & Pacific,2024,2034,2035,9390.22654280848,107568224.1230856,77.5073918006339,9.23402214050293,10239.6440833381,LogHolt,Holt,XGBoost Model 1 Recursive
Viet Nam,VNM,East Asia & Pacific,2024,2035,2036,10239.6440833381,108249414.63482383,77.77029467329753,9.271343231201172,10629.019532586763,LogHolt,Holt,XGBoost Model 1 Recursive
Viet Nam,VNM,East Asia & Pacific,2024,2036,2037,10629.019532586763,108934918.8787727,78.03319754596116,9.349987030029297,11498.674306713781,LogHolt,Holt,XGBoost Model 1 Recursive
Viet Nam,VNM,East Asia & Pacific,2024,2037,2038,11498.674306713781,109624764.17223302,78.2961004186248,9.414963722229004,12270.628050183142,LogHolt,Holt,XGBoost Model 1 Recursive
Viet Nam,VNM,East Asia & Pacific,2024,2038,2039,12270.628050183142,110318978.00549456,78.55900329128843,9.515957832336426,13574.629238341211,LogHolt,Holt,XGBoost Model 1 Recursive
Viet Nam,VNM,East Asia & Pacific,2024,2039,2040,13574.629238341211,111017588.04293475,78.82190616395206,9.645795822143555,15456.668728990451,LogHolt,Holt,XGBoost Model 1 Recursive
