target_year,model_1_predicted_gdp,model_2_predicted_gdp,model_3_predicted_gdp
2025,5054.133644733915,5160.462028935614,5310.651638091831
2026,5361.228334933906,5519.497691125134,6128.223665267798
2027,5702.895597185601,5719.311435567363,6870.350990579711
2028,5978.447368403198,6323.4418064113015,7664.949363749377
2029,6273.197318902795,6321.259140730701,8626.165067874867
2030,6641.981261701181,6266.2075714745615,9881.820114096045
2031,7252.759296528985,6407.8055313952445,10894.338976001169
2032,7560.269790805927,6944.7302320014705,11907.05953737556
2033,8346.537413151642,7450.167416556276,12378.077121744098
2034,9390.22654280848,8409.730110465292,12862.37783096973
2035,10239.6440833381,8838.9267352404,13323.083588877971
2036,10629.019532586764,9864.946660265725,14922.682723432164
2037,11498.67430671378,10913.295784164928,15751.501473715984
2038,12270.628050183142,11928.677216435315,15962.41007909526
2039,13574.629238341213,13483.539061500353,17602.192910405283
2040,15456.668728990451,15878.115671265234,18876.72584035716
