country_name,country_code,wb_region,feature_year,target_year,actual_gdp_next_year,pred_ols,pred_ridge,pred_elastic_net,pred_random_forest,pred_xgboost,spec,split
Afghanistan,AFG,"Middle East, North Africa, Afghanistan & Pakistan",2018,2019,496.6025,524.5826,530.7157865328851,533.2791687983442,516.4590322099776,557.12317,Model 2,test
Afghanistan,AFG,"Middle East, North Africa, Afghanistan & Pakistan",2019,2020,510.7871,530.8835,537.3359158816937,539.4786321442539,525.1832196605452,553.26544,Model 2,test
Afghanistan,AFG,"Middle East, North Africa, Afghanistan & Pakistan",2020,2021,356.4962,544.2491,549.7691397498072,552.6403667553935,530.6866481886888,551.4026,Model 2,test
Afghanistan,AFG,"Middle East, North Africa, Afghanistan & Pakistan",2021,2022,357.2612,381.2038,385.99347870732703,387.9738160080623,419.31573813826384,402.83826,Model 2,test
Afghanistan,AFG,"Middle East, North Africa, Afghanistan & Pakistan",2022,2023,413.7579,387.9684,394.8231587734588,393.4556901703923,439.77311729155656,427.29865,Model 2,test
Angola,AGO,Sub-Saharan Africa ,2018,2019,2493.6788,2970.5844,2960.5055044665673,2982.673391522366,2855.817674362348,3000.7874,Model 2,test
Angola,AGO,Sub-Saharan Africa ,2019,2020,1759.3562,2595.2083,2592.598935360062,2611.306386902312,2649.5302968674223,2903.2542,Model 2,test
Angola,AGO,Sub-Saharan Africa ,2020,2021,2303.9081,1844.2808,1848.8380609410565,1857.4058096702472,1903.326804470653,2072.9644,Model 2,test
Angola,AGO,Sub-Saharan Africa ,2021,2022,3682.1132,2404.3545,2403.488965166356,2416.447562102546,2508.918489022583,1994.3491,Model 2,test
Angola,AGO,Sub-Saharan Africa ,2022,2023,2916.1366,3818.3341,3805.3250081259735,3832.0191319789337,3433.7241660732752,2981.4668,Model 2,test
Albania,ALB,Europe & Central Asia,2018,2019,6069.439,6253.3474,6346.067209488627,6284.459110052545,6494.174636911811,6424.149,Model 2,test
Albania,ALB,Europe & Central Asia,2019,2020,6027.9135,6430.5425,6528.858827360465,6466.655418879898,7110.532714897398,7084.4185,Model 2,test
Albania,ALB,Europe & Central Asia,2020,2021,7242.4551,6356.0106,6447.072713291476,6399.242814575569,6701.159031100399,6629.3247,Model 2,test
Albania,ALB,Europe & Central Asia,2021,2022,7756.9619,7582.3795,7678.864339066234,7639.129749989031,7847.067462234161,7970.917,Model 2,test
Albania,ALB,Europe & Central Asia,2022,2023,9730.8692,8155.0952,8272.287061356012,8205.137018870364,8615.095420423408,9201.738,Model 2,test
United Arab Emirates,ARE,"Middle East, North Africa, Afghanistan & Pakistan",2018,2019,45938.6074,48153.2645,48230.326488838706,48245.21136412747,49058.82393516491,47628.42,Model 2,test
United Arab Emirates,ARE,"Middle East, North Africa, Afghanistan & Pakistan",2019,2020,37991.7493,46898.4958,47007.63120250831,47063.87365991063,49346.49681712698,46934.03,Model 2,test
United Arab Emirates,ARE,"Middle East, North Africa, Afghanistan & Pakistan",2020,2021,44118.5047,38838.7373,38988.8207562512,39032.9331267743,40294.119033336334,42857.344,Model 2,test
United Arab Emirates,ARE,"Middle East, North Africa, Afghanistan & Pakistan",2021,2022,50759.7589,44689.0119,44656.19351342962,44877.721521597145,45005.26030215227,46136.86,Model 2,test
United Arab Emirates,ARE,"Middle East, North Africa, Afghanistan & Pakistan",2022,2023,49850.6872,51538.891,51490.91874075239,51633.77488594082,48917.87685216912,48281.574,Model 2,test
Argentina,ARG,Latin America & Caribbean ,2018,2019,9955.9748,12248.6896,12300.111598733616,12257.67772149448,12134.600254565736,11444.105,Model 2,test
Argentina,ARG,Latin America & Caribbean ,2019,2020,8535.5994,10455.4152,10513.809318752808,10425.056401096286,10216.36142349829,9636.453,Model 2,test
Argentina,ARG,Latin America & Caribbean ,2020,2021,10738.0179,8926.7798,8995.524556141076,8949.40863494694,8752.92983034499,9658.792,Model 2,test
Argentina,ARG,Latin America & Caribbean ,2021,2022,13962.1894,11146.2805,11182.226137295158,11150.03661553744,10608.299905957005,10717.657,Model 2,test
Argentina,ARG,Latin America & Caribbean ,2022,2023,14261.8466,14583.6607,14607.23827140404,14472.556394801844,12892.319281302403,12945.765,Model 2,test
Armenia,ARM,Europe & Central Asia,2018,2019,4597.2289,4431.0293,4499.793363122708,4468.942938692782,4424.559307616487,4752.6304,Model 2,test
Armenia,ARM,Europe & Central Asia,2019,2020,4268.6809,4855.0097,4927.421159334289,4892.7918360420845,4902.640148594341,5065.6084,Model 2,test
Armenia,ARM,Europe & Central Asia,2020,2021,4685.18,4471.0213,4535.683841808081,4521.209470074847,4546.130956906657,4697.323,Model 2,test
Armenia,ARM,Europe & Central Asia,2021,2022,6571.9745,4891.3327,4951.332363620834,4939.314173540461,5076.80492413934,5442.7637,Model 2,test
Armenia,ARM,Europe & Central Asia,2022,2023,8159.0872,6869.3412,6944.557920877466,6914.311008840329,6986.693025657238,6929.276,Model 2,test
Australia,AUS,East Asia & Pacific,2018,2019,55194.7585,58490.4384,58386.69268851608,58537.32126327776,56289.86021036237,57625.008,Model 2,test
Australia,AUS,East Asia & Pacific,2019,2020,51983.4524,56240.7708,56205.600542908265,56348.734489918665,54240.01850760152,54543.64,Model 2,test
Australia,AUS,East Asia & Pacific,2020,2021,60758.9044,53037.8618,53069.73969672391,53179.83530516536,52859.95026503756,51759.855,Model 2,test
Australia,AUS,East Asia & Pacific,2021,2022,65169.5191,61841.4108,61801.85028550559,61949.71335634113,59559.23043027901,60612.4,Model 2,test
Australia,AUS,East Asia & Pacific,2022,2023,65058.3773,66311.4527,66188.24809026191,66324.94002501297,66198.54091506574,66722.3,Model 2,test
Austria,AUT,Europe & Central Asia,2018,2019,49885.9947,52245.5231,52164.605761449704,52209.69909025419,51192.909527087555,52079.32,Model 2,test
Austria,AUT,Europe & Central Asia,2019,2020,48716.4099,50949.7184,50895.54984410621,50929.50986067019,50420.349240217955,51310.207,Model 2,test
