spec,algorithm,n_obs,MAE,RMSE,MAPE_pct,R_squared,rank_mae,rank_rmse,rank_mape,rank_r2,rank_score
Model 3,OLS,813,1468.1942,3472.995,8.8964,0.9766,1.0,2.0,1.0,2.0,6.0
Model 3,Ridge,813,1468.1942,3472.9951,8.8964,0.9766,1.0,3.0,1.0,2.0,7.0
Model 2,Elastic Net,813,1486.9078,3468.6213,9.1557,0.9767,3.0,1.0,5.0,1.0,10.0
Model 3,Elastic Net,813,1487.8599,3476.2812,9.1411,0.9766,4.0,4.0,3.0,2.0,13.0
Model 2,OLS,813,1485.094,3482.8558,9.0518,0.9765,2.0,6.0,2.0,3.0,13.0
Model 1,OLS,813,1498.1181,3477.1503,9.1617,0.9766,6.0,5.0,6.0,2.0,19.0
Model 2,Ridge,813,1490.5958,3483.98,9.148,0.9765,5.0,7.0,4.0,3.0,19.0
Model 1,Elastic Net,813,1512.4117,3492.6625,9.2031,0.9763,7.0,8.0,7.0,4.0,26.0
Model 1,Ridge,813,1513.9324,3494.8991,9.2067,0.9763,8.0,9.0,8.0,4.0,29.0
Model 3,Random Forest,813,1653.6599,3966.4374,9.4865,0.9695,10.0,11.0,9.0,6.0,36.0
Model 1,XGBoost,813,1666.2786,3878.7151,9.9957,0.9708,11.0,10.0,12.0,5.0,38.0
Model 1,Random Forest,813,1639.6849,4010.1453,9.8598,0.9688,9.0,12.0,10.0,7.0,38.0
Model 2,Random Forest,813,1687.3212,4027.8137,9.8958,0.9685,12.0,13.0,11.0,8.0,44.0
Model 2,XGBoost,813,1858.3525,4168.2012,12.3253,0.9663,14.0,14.0,14.0,9.0,51.0
Model 3,XGBoost,813,1786.7812,4331.0483,10.5643,0.9636,13.0,15.0,13.0,10.0,51.0
