model,actual_decile,n_obs,actual_mean_gdp,predicted_mean_gdp,pred_to_actual_ratio
Model 1 - Baseline Dynamic,"(234.31, 975.758]",82,703.423,741.3588,1.0539
Model 1 - Baseline Dynamic,"(975.758, 1967.557]",81,1430.0058,1482.3571,1.0366
Model 1 - Baseline Dynamic,"(1967.557, 3167.191]",81,2432.723,2486.2089,1.022
Model 1 - Baseline Dynamic,"(3167.191, 4400.424]",81,3825.0815,4078.0154,1.0661
Model 1 - Baseline Dynamic,"(4400.424, 6542.856]",82,5440.8677,5622.7053,1.0334
Model 1 - Baseline Dynamic,"(6542.856, 9701.021]",81,7777.1001,7976.7764,1.0257
Model 1 - Baseline Dynamic,"(9701.021, 17034.531]",81,12628.4058,12448.3417,0.9857
Model 1 - Baseline Dynamic,"(17034.531, 30348.516]",81,22766.1606,22835.699,1.0031
Model 1 - Baseline Dynamic,"(30348.516, 50342.533]",81,39745.2255,40627.5106,1.0222
Model 1 - Baseline Dynamic,"(50342.533, 134965.815]",82,71373.8214,70157.3229,0.983
Model 2 - Extended Dynamic,"(234.31, 975.758]",82,703.423,737.3222,1.0482
Model 2 - Extended Dynamic,"(975.758, 1967.557]",81,1430.0058,1473.4795,1.0304
Model 2 - Extended Dynamic,"(1967.557, 3167.191]",81,2432.723,2474.3133,1.0171
Model 2 - Extended Dynamic,"(3167.191, 4400.424]",81,3825.0815,4043.3482,1.0571
Model 2 - Extended Dynamic,"(4400.424, 6542.856]",82,5440.8677,5569.4215,1.0236
Model 2 - Extended Dynamic,"(6542.856, 9701.021]",81,7777.1001,7902.2178,1.0161
Model 2 - Extended Dynamic,"(9701.021, 17034.531]",81,12628.4058,12341.3264,0.9773
Model 2 - Extended Dynamic,"(17034.531, 30348.516]",81,22766.1606,22629.167,0.994
Model 2 - Extended Dynamic,"(30348.516, 50342.533]",81,39745.2255,40287.5498,1.0136
Model 2 - Extended Dynamic,"(50342.533, 134965.815]",82,71373.8214,69651.2788,0.9759
Model 3 - Full Dynamic,"(234.31, 975.758]",82,703.423,731.758,1.0403
Model 3 - Full Dynamic,"(975.758, 1967.557]",81,1430.0058,1464.09,1.0238
Model 3 - Full Dynamic,"(1967.557, 3167.191]",81,2432.723,2466.4786,1.0139
Model 3 - Full Dynamic,"(3167.191, 4400.424]",81,3825.0815,4015.284,1.0497
Model 3 - Full Dynamic,"(4400.424, 6542.856]",82,5440.8677,5544.0138,1.019
Model 3 - Full Dynamic,"(6542.856, 9701.021]",81,7777.1001,7869.6365,1.0119
Model 3 - Full Dynamic,"(9701.021, 17034.531]",81,12628.4058,12290.9442,0.9733
Model 3 - Full Dynamic,"(17034.531, 30348.516]",81,22766.1606,22605.1727,0.9929
Model 3 - Full Dynamic,"(30348.516, 50342.533]",81,39745.2255,39997.1861,1.0063
Model 3 - Full Dynamic,"(50342.533, 134965.815]",82,71373.8214,69506.933,0.9738
