model,target_year,n_obs,actual_mean_gdp,predicted_mean_gdp,pred_to_actual_ratio,mean_absolute_percentage_error_pct
Model 1 - Baseline Dynamic,2019,166,15698.9605,16452.9427,1.048,6.1478
Model 1 - Baseline Dynamic,2020,166,14549.3612,16236.8379,1.116,14.0734
Model 1 - Baseline Dynamic,2021,162,17155.0981,15254.6461,0.8892,9.6249
Model 1 - Baseline Dynamic,2022,160,18048.6179,17847.2108,0.9888,8.1583
Model 1 - Baseline Dynamic,2023,159,18914.0876,18667.7446,0.987,7.7184
Model 2 - Extended Dynamic,2019,166,15698.9605,16329.0628,1.0401,5.6539
Model 2 - Extended Dynamic,2020,166,14549.3612,16105.7865,1.107,13.322
Model 2 - Extended Dynamic,2021,162,17155.0981,15118.2322,0.8813,10.1837
Model 2 - Extended Dynamic,2022,160,18048.6179,17697.4927,0.9805,8.2349
Model 2 - Extended Dynamic,2023,159,18914.0876,18533.8613,0.9799,7.8097
Model 3 - Full Dynamic,2019,166,15698.9605,16288.2888,1.0375,5.3232
Model 3 - Full Dynamic,2020,166,14549.3612,16049.5349,1.1031,12.8261
Model 3 - Full Dynamic,2021,162,17155.0981,15069.2342,0.8784,10.4037
Model 3 - Full Dynamic,2022,160,18048.6179,17634.9957,0.9771,8.2109
Model 3 - Full Dynamic,2023,159,18914.0876,18432.0753,0.9745,7.6784
