term,coefficient,std_error,t_value,p_value,ci_lower,ci_upper
Intercept,0.166272,0.039818,4.175779,3e-05,0.08823,0.244314
C(wb_region)[T.Europe & Central Asia],0.010096,0.006751,1.49553,0.134776,-0.003135,0.023328
C(wb_region)[T.Latin America & Caribbean ],-0.008708,0.006701,-1.299501,0.193772,-0.021842,0.004426
"C(wb_region)[T.Middle East, North Africa, Afghanistan & Pakistan]",-0.009961,0.007947,-1.253483,0.21003,-0.025536,0.005614
C(wb_region)[T.North America],0.013295,0.01118,1.18922,0.234353,-0.008617,0.035208
C(wb_region)[T.South Asia],-0.000248,0.008682,-0.028583,0.977197,-0.017264,0.016767
C(wb_region)[T.Sub-Saharan Africa ],-0.023456,0.009248,-2.536271,0.011204,-0.041583,-0.00533
log_gdp_per_capita,0.984149,0.003382,291.020099,0.0,0.977521,0.990777
log_population_total,-0.002444,0.001146,-2.131744,0.033028,-0.004691,-0.000197
life_expectancy_years,0.001249,0.000654,1.911121,0.055989,-3.2e-05,0.00253
inflation_pct_clean,0.000168,0.000254,0.663895,0.506758,-0.000329,0.000666
unemployment_pct_clean,-0.000154,0.00036,-0.429205,0.667774,-0.000859,0.00055
internet_users_pct_clean,-0.000289,0.000154,-1.875021,0.06079,-0.000591,1.3e-05
asian_financial_crisis_9798,-0.096865,0.009609,-10.080657,0.0,-0.115698,-0.078032
global_financial_crisis_0809,-0.043543,0.007888,-5.519821,0.0,-0.059004,-0.028082
year_trend,-0.000686,0.000461,-1.486104,0.137252,-0.00159,0.000219
