country_name,country_code,wb_region,latest_actual_gdp_year,feature_year_used,target_year,gdp_input_used,population_used,life_expectancy_used,inflation_used,unemployment_used,internet_users_used,year_trend_used,asian_financial_crisis_9798,global_financial_crisis_0809,covid_shock_2020,covid_rebound_2021,ukraine_energy_shock_2022_2024,predicted_log_gdp_per_capita,predicted_gdp_per_capita_usd,population_model,life_model,inflation_model,unemployment_model,internet_model,gdp_model
Viet Nam,VNM,East Asia & Pacific,2024,2024,2025,4717.29028732449,100987686.0,74.87836307399756,3.62109273885843,1.602,84.15,33,0,0,0,0,1,8.577469825744629,5310.651638091831,LogHolt,Holt,Naive,Naive,Holt,XGBoost Model 3 Recursive
Viet Nam,VNM,East Asia & Pacific,2024,2025,2026,5310.651638091831,101627204.35341582,75.14126594666119,3.62109273885843,1.523,87.79624698487285,34,0,0,0,0,0,8.720660209655762,6128.223665267798,LogHolt,Holt,Naive,Naive,Holt,XGBoost Model 3 Recursive
Viet Nam,VNM,East Asia & Pacific,2024,2026,2027,6128.223665267798,102270772.54378378,75.40416881932484,3.62109273885843,1.523,91.44249401465743,35,0,0,0,0,0,8.834970474243164,6870.350990579711,LogHolt,Holt,Naive,Naive,Holt,XGBoost Model 3 Recursive
Viet Nam,VNM,East Asia & Pacific,2024,2027,2028,6870.350990579711,102918416.21786034,75.66707169198847,3.62109273885843,1.523,95.088741044442,36,0,0,0,0,0,8.944413185119629,7664.949363749377,LogHolt,Holt,Naive,Naive,Holt,XGBoost Model 3 Recursive
Viet Nam,VNM,East Asia & Pacific,2024,2028,2029,7664.949363749377,103570161.18420349,75.9299745646521,3.62109273885843,1.523,98.73498807422656,37,0,0,0,0,0,9.062555313110352,8626.165067874867,LogHolt,Holt,Naive,Naive,Holt,XGBoost Model 3 Recursive
Viet Nam,VNM,East Asia & Pacific,2024,2029,2030,8626.165067874867,104226033.41480899,76.19287743731573,3.62109273885843,1.523,100.0,38,0,0,0,0,0,9.19845199584961,9881.820114096045,LogHolt,Holt,Naive,Naive,Holt,XGBoost Model 3 Recursive
Viet Nam,VNM,East Asia & Pacific,2024,2030,2031,9881.820114096045,104886059.04614228,76.45578030997936,3.62109273885843,1.523,100.0,39,0,0,0,0,0,9.295998573303223,10894.338976001167,LogHolt,Holt,Naive,Naive,Holt,XGBoost Model 3 Recursive
Viet Nam,VNM,East Asia & Pacific,2024,2031,2032,10894.338976001167,105550264.38018306,76.71868318264299,3.62109273885843,1.523,100.0,40,0,0,0,0,0,9.384886741638184,11907.059537375559,LogHolt,Holt,Naive,Naive,Holt,XGBoost Model 3 Recursive
Viet Nam,VNM,East Asia & Pacific,2024,2032,2033,11907.059537375559,106218675.88547045,76.98158605530664,3.62109273885843,1.523,100.0,41,0,0,0,0,0,9.42368221282959,12378.077121744098,LogHolt,Holt,Naive,Naive,Holt,XGBoost Model 3 Recursive
Viet Nam,VNM,East Asia & Pacific,2024,2033,2034,12378.077121744098,106891320.19816068,77.24448892797027,3.62109273885843,1.523,100.0,42,0,0,0,0,0,9.462061882019043,12862.37783096973,LogHolt,Holt,Naive,Naive,Holt,XGBoost Model 3 Recursive
Viet Nam,VNM,East Asia & Pacific,2024,2034,2035,12862.37783096973,107568224.1230856,77.5073918006339,3.62109273885843,1.523,100.0,43,0,0,0,0,0,9.49725341796875,13323.083588877971,LogHolt,Holt,Naive,Naive,Holt,XGBoost Model 3 Recursive
Viet Nam,VNM,East Asia & Pacific,2024,2035,2036,13323.083588877971,108249414.63482383,77.77029467329753,3.62109273885843,1.523,100.0,44,0,0,0,0,0,9.610637664794922,14922.682723432164,LogHolt,Holt,Naive,Naive,Holt,XGBoost Model 3 Recursive
Viet Nam,VNM,East Asia & Pacific,2024,2036,2037,14922.682723432164,108934918.8787727,78.03319754596116,3.62109273885843,1.523,100.0,45,0,0,0,0,0,9.664690971374512,15751.501473715984,LogHolt,Holt,Naive,Naive,Holt,XGBoost Model 3 Recursive
Viet Nam,VNM,East Asia & Pacific,2024,2037,2038,15751.501473715984,109624764.17223302,78.2961004186248,3.62109273885843,1.523,100.0,46,0,0,0,0,0,9.67799186706543,15962.41007909526,LogHolt,Holt,Naive,Naive,Holt,XGBoost Model 3 Recursive
Viet Nam,VNM,East Asia & Pacific,2024,2038,2039,15962.41007909526,110318978.00549456,78.55900329128843,3.62109273885843,1.523,100.0,47,0,0,0,0,0,9.775778770446777,17602.192910405283,LogHolt,Holt,Naive,Naive,Holt,XGBoost Model 3 Recursive
Viet Nam,VNM,East Asia & Pacific,2024,2039,2040,17602.192910405283,111017588.04293475,78.82190616395206,3.62109273885843,1.523,100.0,48,0,0,0,0,0,9.845685005187988,18876.72584035716,LogHolt,Holt,Naive,Naive,Holt,XGBoost Model 3 Recursive
