year,Model 1 - OLS,Model 2 - Elastic Net,Model 3 - OLS
2024,4563.508796177023,4573.8332245417305,4491.934204078596
2025,4811.252522380606,4833.026902243099,4658.141411388845
2026,5066.516874858287,5100.916196616135,4821.385287391363
2027,5329.223790793144,5377.471460604484,4981.088269114992
2028,5599.282073057211,5662.6486986649,5136.6856980738285
2029,5876.587738979906,5956.389759496149,5287.62948905537
2030,6161.024409838641,6258.622576856575,5433.391620535403
2031,6452.463737837278,6569.26145589266,5573.467415686795
2032,6750.765867252113,6888.207402235645,5707.981920723999
2033,7055.779926368674,7215.348490986502,5837.549849430486
2034,7367.344546803662,7550.560272600434,5961.827642141238
2035,7685.288406804306,7893.70621260065,6080.492816997794
2036,8009.430795139482,8244.638161994892,6193.245311852681
2037,8339.582192241742,8603.196855237407,6299.808654102404
2038,8675.544865324997,8969.21243257106,6399.930954777745
2039,9017.113474286709,9342.504983598441,6493.385724962337
2040,9364.075685304577,9722.885108965118,6579.972514288532
